timestamp;serial;grid_purchase;grid_feedin;direct_consumption;date
2023-05-22T15:40:00.000Z;1711356005;673;0;null;2023-05-22
2023-05-22T15:54:00.000Z;2105167400;n/a;36;null;2023-05-22
2023-05-22T16:14:00.000Z;1083091999;7012;0;null;2023-05-22
2023-05-22T04:57:00.000Z;970568993;0;2045;null;2023-05-22
2023-05-22T16:30:00.000Z;1559834999;27;0;null;2023-05-22
2023-05-22T18:21:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T18:27:00.000Z;1559834999;27;0;null;2023-05-22
2023-05-22T18:23:00.000Z;1083091999;8115;0;null;2023-05-22
2023-05-22T16:26:00.000Z;1057045008;1378;0;null;2023-05-22
2023-05-22T18:43:00.000Z;1771861586;0;0;null;2023-05-22
2023-05-22T18:16:00.000Z;1654624404;228;0;null;2023-05-22
2023-05-22T15:45:00.000Z;2105167400;n/a;14;null;2023-05-22
2023-05-22T18:32:00.000Z;2105167400;n/a;0;null;2023-05-22
2023-05-22T18:03:00.000Z;1057045008;24;0;null;2023-05-22
2023-05-22T18:46:00.000Z;1135739597;5953;0;null;2023-05-22
2023-05-22T18:07:00.000Z;1654624404;66;0;null;2023-05-22
2023-05-22T17:45:00.000Z;1135739597;6823;0;null;2023-05-22
2023-05-22T15:20:00.000Z;2105167400;n/a;43;null;2023-05-22
2023-05-22T18:10:00.000Z;2105167400;n/a;0;null;2023-05-22
2023-05-22T17:24:00.000Z;1559834999;6;0;null;2023-05-22
2023-05-22T17:30:00.000Z;1711356005;718;0;null;2023-05-22
2023-05-22T15:01:00.000Z;1057045008;865;0;null;2023-05-22
2023-05-22T16:25:00.000Z;1135739597;6904;0;null;2023-05-22
2023-05-22T16:22:00.000Z;1559834999;24;0;null;2023-05-22
2023-05-22T16:25:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T15:22:00.000Z;1083091999;3797;0;null;2023-05-22
2023-05-22T17:38:00.000Z;1711356005;720;0;null;2023-05-22
2023-05-22T04:05:00.000Z;1135739597;0;4680;null;2023-05-22
2023-05-22T15:07:00.000Z;1135739597;5795;0;null;2023-05-22
2023-05-22T15:52:00.000Z;1654624404;4129;0;null;2023-05-22
2023-05-22T21:35:00.000Z;1135739597;14120;0;null;2023-05-22
2023-05-22T23:58:00.000Z;517262015;24;0;null;2023-05-22
2023-05-22T20:28:00.000Z;1771861586;0;0;null;2023-05-22
2023-05-22T03:05:00.000Z;1135739597;14843;0;null;2023-05-22
2023-05-22T22:11:00.000Z;1654624404;123;0;null;2023-05-22
2023-05-22T22:04:00.000Z;1559834999;94;0;null;2023-05-22
2023-05-22T03:34:00.000Z;1057045008;19;0;null;2023-05-22
2023-05-22T19:22:00.000Z;1083091999;7154;0;null;2023-05-22
2023-05-22T19:53:00.000Z;1654624404;71;0;null;2023-05-22
2023-05-22T22:06:00.000Z;1559834999;145;0;null;2023-05-22
2023-05-22T22:44:00.000Z;1057045008;26;0;null;2023-05-22
2023-05-22T23:39:00.000Z;1771861586;0;0;null;2023-05-22
2023-05-22T23:58:00.000Z;1654624404;0;504;null;2023-05-22
2023-05-22T03:25:00.000Z;1057045008;35;0;null;2023-05-22
2023-05-22T20:15:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T00:41:00.000Z;1559834999;2;0;null;2023-05-22
2023-05-22T20:39:00.000Z;1559834999;124;0;null;2023-05-22
2023-05-22T22:08:00.000Z;2105167400;n/a;5;null;2023-05-22
2023-05-22T20:16:00.000Z;1135739597;6771;0;null;2023-05-22
2023-05-22T22:33:00.000Z;1711356005;35;0;null;2023-05-22
2023-05-22T23:04:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T00:38:00.000Z;1057045008;25;0;null;2023-05-22
2023-05-22T03:05:00.000Z;1654624404;0;719;null;2023-05-22
2023-05-22T21:56:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T21:43:00.000Z;1057045008;22;0;null;2023-05-22
2023-05-22T20:45:00.000Z;517262015;2630;0;null;2023-05-22
2023-05-22T21:26:00.000Z;1559834999;129;0;null;2023-05-22
2023-05-22T20:46:00.000Z;1559834999;195;0;null;2023-05-22
2023-05-22T20:42:00.000Z;517262015;3220;0;null;2023-05-22
2023-05-22T03:04:00.000Z;1771861586;0;0;null;2023-05-22
2023-05-22T21:47:00.000Z;517262015;773;0;null;2023-05-22
2023-05-22T20:20:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T19:35:00.000Z;1654624404;133;0;null;2023-05-22
2023-05-22T22:10:00.000Z;1083091999;4482;0;null;2023-05-22
2023-05-22T00:05:00.000Z;1083091999;4640;0;null;2023-05-22
2023-05-22T21:59:00.000Z;970568993;329;0;null;2023-05-22
2023-05-22T22:50:00.000Z;517262015;40;0;null;2023-05-22
2023-05-22T00:16:00.000Z;1654624404;0;671;null;2023-05-22
2023-05-22T20:38:00.000Z;970568993;452;0;null;2023-05-22
2023-05-22T00:19:00.000Z;1559834999;1647;0;null;2023-05-22
2023-05-22T23:27:00.000Z;1083091999;3563;0;null;2023-05-22
2023-05-22T23:56:00.000Z;970568993;30;0;null;2023-05-22
2023-05-22T22:04:00.000Z;970568993;331;0;null;2023-05-22
2023-05-22T19:29:00.000Z;1559834999;28;0;null;2023-05-22
2023-05-22T19:21:00.000Z;1083091999;7457;0;null;2023-05-22
2023-05-22T21:41:00.000Z;517262015;881;0;null;2023-05-22
2023-05-22T21:00:00.000Z;1711356005;162;0;null;2023-05-22
2023-05-22T22:49:00.000Z;1711356005;19;0;null;2023-05-22
2023-05-22T23:57:00.000Z;970568993;21;0;null;2023-05-22
2023-05-22T03:57:00.000Z;1057045008;24;0;null;2023-05-22
2023-05-22T22:12:00.000Z;2105167400;n/a;0;null;2023-05-22
2023-05-22T03:13:00.000Z;1711356005;0;67;null;2023-05-22
2023-05-22T03:06:00.000Z;1135739597;14753;0;null;2023-05-22
2023-05-22T23:00:00.000Z;1083091999;5742;0;null;2023-05-22
2023-05-22T19:33:00.000Z;1654624404;134;0;null;2023-05-22
2023-05-22T21:11:00.000Z;2105167400;n/a;0;null;2023-05-22
2023-05-22T03:35:00.000Z;1654624404;0;1002;null;2023-05-22
2023-05-22T19:23:00.000Z;517262015;30;0;null;2023-05-22
2023-05-22T20:45:00.000Z;1083091999;6817;0;null;2023-05-22
2023-05-22T19:39:00.000Z;1083091999;7456;0;null;2023-05-22
2023-05-22T21:29:00.000Z;517262015;1041;0;null;2023-05-22
2023-05-22T20:02:00.000Z;1057045008;30;0;null;2023-05-22
2023-05-22T21:59:00.000Z;1057045008;30;0;null;2023-05-22
2023-05-22T19:55:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T22:45:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T23:48:00.000Z;517262015;31;0;null;2023-05-22
2023-05-22T21:36:00.000Z;517262015;836;0;null;2023-05-22
2023-05-22T21:00:00.000Z;1083091999;8680;0;null;2023-05-22
2023-05-22T22:31:00.000Z;1135739597;30671;0;null;2023-05-22
2023-05-22T22:46:00.000Z;1057045008;24;0;null;2023-05-22
2023-05-22T22:47:00.000Z;2105167400;n/a;0;null;2023-05-22
2023-05-22T22:31:00.000Z;970568993;28;0;null;2023-05-22
2023-05-22T00:43:00.000Z;1654624404;0;787;null;2023-05-22
2023-05-22T22:45:00.000Z;517262015;26;0;null;2023-05-22
2023-05-22T23:05:00.000Z;1083091999;3234;0;null;2023-05-22
2023-05-22T21:54:00.000Z;970568993;379;0;null;2023-05-22
2023-05-22T00:59:00.000Z;1083091999;4382;0;null;2023-05-22
2023-05-22T22:56:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T22:43:00.000Z;1654624404;116;0;null;2023-05-22
2023-05-22T21:51:00.000Z;1559834999;80;0;null;2023-05-22
2023-05-22T21:52:00.000Z;1559834999;88;0;null;2023-05-22
2023-05-22T19:37:00.000Z;1057045008;17;0;null;2023-05-22
2023-05-22T03:45:00.000Z;1559834999;0;2633;null;2023-05-22
2023-05-22T23:40:00.000Z;1559834999;29;0;null;2023-05-22
2023-05-22T21:20:00.000Z;1028817402;0;0;null;2023-05-22
2023-05-22T23:20:00.000Z;1057045008;29;0;null;2023-05-22
2023-05-22T20:42:00.000Z;1654624404;68;0;null;2023-05-22
2023-05-22T19:01:00.000Z;517262015;29;0;null;2023-05-22
2023-05-22T20:03:00.000Z;970568993;458;0;null;2023-05-22
2023-05-22T20:14:00.000Z;1771861586;0;0;null;2023-05-22
