timestamp,serial,grid_purchase,grid_feedin,direct_consumption,date,hour,is_highest_grid_feed
2023-05-22 15:40:00+00:00,1711356005,673.0,0.0,0,2023-05-22,15,False
2023-05-22 15:54:00+00:00,2105167400,31.0,36.0,0,2023-05-22,15,False
2023-05-22 16:14:00+00:00,1083091999,7012.0,0.0,0,2023-05-22,16,False
2023-05-22 04:57:00+00:00,970568993,0.0,2045.0,0,2023-05-22,4,True
2023-05-22 16:30:00+00:00,1559834999,27.0,0.0,0,2023-05-22,16,False
2023-05-22 18:21:00+00:00,1028817402,0.0,0.0,0,2023-05-22,18,False
2023-05-22 18:27:00+00:00,1559834999,27.0,0.0,0,2023-05-22,18,False
2023-05-22 18:23:00+00:00,1083091999,8115.0,0.0,0,2023-05-22,18,False
2023-05-22 16:26:00+00:00,1057045008,1378.0,0.0,0,2023-05-22,16,False
2023-05-22 18:43:00+00:00,1771861586,0.0,0.0,0,2023-05-22,18,False
2023-05-22 18:16:00+00:00,1654624404,228.0,0.0,0,2023-05-22,18,False
2023-05-22 15:45:00+00:00,2105167400,31.0,14.0,0,2023-05-22,15,False
2023-05-22 18:32:00+00:00,2105167400,31.0,0.0,0,2023-05-22,18,False
2023-05-22 18:03:00+00:00,1057045008,24.0,0.0,0,2023-05-22,18,False
2023-05-22 18:46:00+00:00,1135739597,5953.0,0.0,0,2023-05-22,18,False
2023-05-22 18:07:00+00:00,1654624404,66.0,0.0,0,2023-05-22,18,False
2023-05-22 17:45:00+00:00,1135739597,6823.0,0.0,0,2023-05-22,17,False
2023-05-22 15:20:00+00:00,2105167400,31.0,43.0,0,2023-05-22,15,False
2023-05-22 18:10:00+00:00,2105167400,31.0,0.0,0,2023-05-22,18,False
2023-05-22 17:24:00+00:00,1559834999,6.0,0.0,0,2023-05-22,17,False
2023-05-22 17:30:00+00:00,1711356005,718.0,0.0,0,2023-05-22,17,False
2023-05-22 15:01:00+00:00,1057045008,865.0,0.0,0,2023-05-22,15,False
2023-05-22 16:25:00+00:00,1135739597,6904.0,0.0,0,2023-05-22,16,False
2023-05-22 16:22:00+00:00,1559834999,24.0,0.0,0,2023-05-22,16,False
2023-05-22 16:25:00+00:00,1028817402,0.0,0.0,0,2023-05-22,16,False
2023-05-22 15:22:00+00:00,1083091999,3797.0,0.0,0,2023-05-22,15,False
2023-05-22 17:38:00+00:00,1711356005,720.0,0.0,0,2023-05-22,17,False
2023-05-22 04:05:00+00:00,1135739597,0.0,4680.0,0,2023-05-22,4,True
2023-05-22 15:07:00+00:00,1135739597,5795.0,0.0,0,2023-05-22,15,False
2023-05-22 15:52:00+00:00,1654624404,4129.0,0.0,0,2023-05-22,15,False
2023-05-22 21:35:00+00:00,1135739597,14120.0,0.0,0,2023-05-22,21,False
2023-05-22 23:58:00+00:00,517262015,24.0,0.0,0,2023-05-22,23,False
2023-05-22 20:28:00+00:00,1771861586,0.0,0.0,0,2023-05-22,20,False
2023-05-22 03:05:00+00:00,1135739597,14843.0,0.0,0,2023-05-22,3,False
2023-05-22 22:11:00+00:00,1654624404,123.0,0.0,0,2023-05-22,22,False
2023-05-22 22:04:00+00:00,1559834999,94.0,0.0,0,2023-05-22,22,False
2023-05-22 03:34:00+00:00,1057045008,19.0,0.0,0,2023-05-22,3,False
2023-05-22 19:22:00+00:00,1083091999,7154.0,0.0,0,2023-05-22,19,False
2023-05-22 19:53:00+00:00,1654624404,71.0,0.0,0,2023-05-22,19,False
2023-05-22 22:06:00+00:00,1559834999,145.0,0.0,0,2023-05-22,22,False
2023-05-22 22:44:00+00:00,1057045008,26.0,0.0,0,2023-05-22,22,False
2023-05-22 23:39:00+00:00,1771861586,0.0,0.0,0,2023-05-22,23,False
2023-05-22 23:58:00+00:00,1654624404,0.0,504.0,0,2023-05-22,23,False
2023-05-22 03:25:00+00:00,1057045008,35.0,0.0,0,2023-05-22,3,False
2023-05-22 20:15:00+00:00,1028817402,0.0,0.0,0,2023-05-22,20,False
2023-05-22 00:41:00+00:00,1559834999,2.0,0.0,0,2023-05-22,0,False
2023-05-22 20:39:00+00:00,1559834999,124.0,0.0,0,2023-05-22,20,False
2023-05-22 22:08:00+00:00,2105167400,31.0,5.0,0,2023-05-22,22,False
2023-05-22 20:16:00+00:00,1135739597,6771.0,0.0,0,2023-05-22,20,False
2023-05-22 22:33:00+00:00,1711356005,35.0,0.0,0,2023-05-22,22,False
2023-05-22 23:04:00+00:00,1028817402,0.0,0.0,0,2023-05-22,23,False
